					Demand	Demand**2	Avg. Demand	Avg. Demand**2
				17-May	3.676919002	13.51973335	3.777353631	15.8023952
				18-May	3.731186771	13.92175472	3.777353631	15.8023952
				19-May	3.791880985	14.37836141	3.777353631	15.8023952
				20-May	3.832899167	14.69111603	3.777353631	15.8023952
				21-May	3.901527266	15.22191501	3.777353631	15.8023952
				22-May	3.967378506	15.74009221	3.777353631	15.8023952
				23-May	4.029580159	16.23751625	3.777353631	15.8023952
				24-May	4.102730572	16.83239814	3.777353631	15.8023952
				25-May	4.124231398	17.00928462	3.777353631	15.8023952
				26-May	4.166836357	17.36252522	3.777353631	15.8023952
				27-May	4.194327266	17.59238121	3.777353631	15.8023952
				28-May	4.2255471	17.8552483	3.777353631	15.8023952
				29-May	4.254862803	18.10385747	3.777353631	15.8023952
				30-May	4.29960991	18.48664538	3.777353631	15.8023952
				31-May	4.356218174	18.97663678	3.777353631	15.8023952
				1-Jun	4.402710736	19.38386183	3.777353631	15.8023952
				2-Jun	4.42849586	19.61157558	3.777353631	15.8023952
				3-Jun	4.465904125	19.94429965	3.777353631	15.8023952
				4-Jun	4.539094207	20.60337622	3.777353631	15.8023952
				5-Jun	4.595266108	21.1164706	3.777353631	15.8023952
				6-Jun	4.654968587	21.66873255	3.777353631	15.8023952
				7-Jun	4.732442967	22.39601644	3.777353631	15.8023952
				8-Jun	4.79873057	23.02781509	3.777353631	15.8023952
				9-Jun	4.855894207	23.57970855	3.777353631	15.8023952
				10-Jun	4.919841314	24.20483856	3.777353631	15.8023952
				11-Jun	4.98117024	24.81205696	3.777353631	15.8023952
				12-Jun	5.043689248	25.43880123	3.777353631	15.8023952
				13-Jun	5.094347099	25.95237236	3.777353631	15.8023952
				14-Jun	5.150955363	26.53234115	3.777353631	15.8023952
				15-Jun	5.20879338	27.13152847	3.777353631	15.8023952
				16-Jun	5.285276024	27.93414265	3.777353631	15.8023952
				17-Jun	5.350968586	28.63286481	3.777353631	15.8023952
				18-Jun	5.422889247	29.40772779	3.777353631	15.8023952
				19-Jun	5.497983462	30.22782215	3.777353631	15.8023952
				20-Jun	5.559748751	30.91080617	3.777353631	15.8023952
				21-Jun	5.618340486	31.56574982	3.777353631	15.8023952
				22-Jun	5.670743792	32.15733516	3.777353631	15.8023952
				23-Jun	5.741712387	32.96726114	3.777353631	15.8023952
				24-Jun	5.80391404	33.68541818	3.777353631	15.8023952
				25-Jun	5.854809907	34.27879905	3.777353631	15.8023952
				26-Jun	5.916654535	35.00680089	3.777353631	15.8023952
				27-Jun	5.986552056	35.83880552	3.777353631	15.8023952
				28-Jun	6.074657841	36.90146789	3.777353631	15.8023952
				29-Jun	6.101950403	37.23379872	3.777353631	15.8023952
				30-Jun	6.159114039	37.93468575	3.777353631	15.8023952
				1-Jul	6.231193378	38.82777091	3.777353631	15.8023952
				2-Jul	6.304661146	39.74875217	3.777353631	15.8023952
				3-Jul	6.367259493	40.54199346	3.777353631	15.8023952
				4-Jul	6.443742138	41.52181274	3.777353631	15.8023952
				5-Jul	6.513599989	42.42698482	3.777353631	15.8023952
				6-Jul	6.585599989	43.37012721	3.777353631	15.8023952
				7-Jul	6.639233047	44.07941545	3.777353631	15.8023952
				8-Jul	6.697467757	44.85607436	3.777353631	15.8023952
				9-Jul	6.761692551	45.72048615	3.777353631	15.8023952
				10-Jul	6.819808253	46.50978461	3.777353631	15.8023952
				11-Jul	6.856938831	47.01761014	3.777353631	15.8023952
				12-Jul	6.889745443	47.46859227	3.777353631	15.8023952
				13-Jul	6.888634699	47.45328802	3.777353631	15.8023952
				14-Jul	6.87486941	47.2638294	3.777353631	15.8023952
				15-Jul	6.856105774	47.00618638	3.777353631	15.8023952
				16-Jul	6.847656187	46.89039525	3.777353631	15.8023952
				17-Jul	6.822505774	46.54658503	3.777353631	15.8023952
				18-Jul	6.774188418	45.88962873	3.777353631	15.8023952
				19-Jul	6.729044617	45.28004145	3.777353631	15.8023952
				20-Jul	6.687352055	44.72067751	3.777353631	15.8023952
				21-Jul	6.640978501	44.10259545	3.777353631	15.8023952
				22-Jul	6.589963625	43.42762058	3.777353631	15.8023952
				23-Jul	6.517844617	42.48229845	3.777353631	15.8023952
				24-Jul	6.472780154	41.89688293	3.777353631	15.8023952
				25-Jul	6.38602313	40.78129141	3.777353631	15.8023952
				26-Jul	6.318981808	39.92953108	3.777353631	15.8023952
				27-Jul	6.237461147	38.90592155	3.777353631	15.8023952
				28-Jul	6.147689246	37.79408306	3.777353631	15.8023952
				29-Jul	6.035781808	36.43066203	3.777353631	15.8023952
				30-Jul	5.955768585	35.47117944	3.777353631	15.8023952
				31-Jul	5.840687593	34.11363156	3.777353631	15.8023952
				1-Aug	5.756905775	33.14196411	3.777353631	15.8023952
				2-Aug	5.672132222	32.17308394	3.777353631	15.8023952
				3-Aug	5.584700817	31.18888322	3.777353631	15.8023952
				4-Aug	5.498419825	30.23262058	3.777353631	15.8023952
				5-Aug	5.396152057	29.11845702	3.777353631	15.8023952
				6-Aug	5.297454537	28.06302457	3.777353631	15.8023952
				7-Aug	5.225375198	27.30454596	3.777353631	15.8023952
				8-Aug	5.176026438	26.79124968	3.777353631	15.8023952
				9-Aug	5.126122305	26.27712989	3.777353631	15.8023952
				10-Aug	5.071775198	25.72290366	3.777353631	15.8023952
				11-Aug	5.008938835	25.08946825	3.777353631	15.8023952
				12-Aug	4.964271066	24.64398722	3.777353631	15.8023952
				13-Aug	4.934399992	24.34830328	3.777353631	15.8023952
				14-Aug	4.906314041	24.07191747	3.777353631	15.8023952
				15-Aug	4.863590074	23.65450841	3.777353631	15.8023952
				16-Aug	4.83375867	23.36522288	3.777353631	15.8023952
				17-Aug	4.804363628	23.08190987	3.777353631	15.8023952
				18-Aug	4.772271066	22.77457113	3.777353631	15.8023952
				19-Aug	4.754697513	22.60714844	3.777353631	15.8023952
				20-Aug	4.721057843	22.28838716	3.777353631	15.8023952
				21-Aug	4.681983463	21.92096915	3.777353631	15.8023952
				22-Aug	4.666472719	21.77596764	3.777353631	15.8023952
				23-Aug	4.652390075	21.64473341	3.777353631	15.8023952
				24-Aug	4.607642967	21.23037372	3.777353631	15.8023952
				25-Aug	4.596257843	21.12558616	3.777353631	15.8023952
				26-Aug	4.550915695	20.71083366	3.777353631	15.8023952
				27-Aug	4.517514042	20.40793312	3.777353631	15.8023952
				28-Aug	4.475504125	20.03013717	3.777353631	15.8023952
				29-Aug	4.421474373	19.54943563	3.777353631	15.8023952
				30-Aug	4.387160323	19.2471757	3.777353631	15.8023952
				31-Aug	4.353917348	18.95659627	3.777353631	15.8023952
				1-Sep	4.324442968	18.70080698	3.777353631	15.8023952
				2-Sep	4.283742142	18.35044674	3.777353631	15.8023952
				3-Sep	4.242168588	17.99599433	3.777353631	15.8023952
				4-Sep	4.210234704	17.72607626	3.777353631	15.8023952
				5-Sep	4.188257844	17.54150377	3.777353631	15.8023952
				6-Sep	4.163662803	17.33608794	3.777353631	15.8023952
				7-Sep	4.127563629	17.03678151	3.777353631	15.8023952
				8-Sep	4.093566935	16.75729025	3.777353631	15.8023952
				9-Sep	4.0685752	16.55330416	3.777353631	15.8023952
				10-Sep	4.038069415	16.3060046	3.777353631	15.8023952
				11-Sep	4.004509084	16.03609301	3.777353631	15.8023952
				12-Sep	3.973011564	15.78482088	3.777353631	15.8023952
				13-Sep	3.941157018	15.53271864	3.777353631	15.8023952
				14-Sep	3.914578506	15.32392488	3.777353631	15.8023952
				15-Sep	3.900614869	15.21479636	3.777353631	15.8023952
				16-Sep	3.873044622	15.00047464	3.777353631	15.8023952
				17-Sep	3.850433051	14.82583468	3.777353631	15.8023952
				18-Sep	3.828654539	14.65859558	3.777353631	15.8023952
				19-Sep	3.808581812	14.50529542	3.777353631	15.8023952
				20-Sep	3.818221481	14.57881528	3.777353631	15.8023952
				21-Sep	3.825996688	14.63825065	3.777353631	15.8023952
				22-Sep	3.829090903	14.66193714	3.777353631	15.8023952
				23-Sep	3.843927266	14.77577683	3.777353631	15.8023952
				24-Sep	3.860747101	14.90536818	3.777353631	15.8023952
3.777353631	15.8023952			25-Sep	3.886928919	15.10821642	3.777353631	15.8023952
				26-Sep	3.891728919	15.14555398	3.777353631	15.8023952
				27-Sep	3.904423134	15.24452001	3.777353631	15.8023952
				28-Sep	3.933897514	15.47554965	3.777353631	15.8023952
				29-Sep	3.948694208	15.59218595	3.777353631	15.8023952
				30-Sep	3.951550407	15.61475062	3.777353631	15.8023952
				1-Oct	3.961348754	15.69228395	3.777353631	15.8023952
